Rk,Team,GP,GF,GA,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%
7,Vancouver Canucks*,82,243,213,67,357,18.77,69,371,81.40,7,5,2335,10.4,2392,.911
8,Philadelphia Flyers*,82,260,232,71,316,22.47,67,393,82.95,16,1,2441,10.7,2668,.913
9,Pittsburgh Penguins*,82,258,233,62,360,17.22,60,347,82.71,7,13,2381,10.8,2484,.906
10,Calgary Flames*,82,251,246,61,358,17.04,58,349,83.38,6,15,2643,9.5,2441,.899
11,Carolina Hurricanes*,82,236,221,70,374,18.72,59,301,80.40,8,9,2675,8.8,2419,.909
12,New York Rangers*,82,200,212,48,346,13.87,40,329,87.84,9,14,2658,7.5,2433,.913
13,Florida Panthers,82,231,223,51,308,16.56,54,311,82.64,7,9,2411,9.6,2843,.922
14,Montreal Canadiens*,82,242,240,72,374,19.25,65,370,82.43,10,11,2461,9.8,2600,.908
15,St. Louis Blues*,82,227,227,72,351,20.51,58,357,83.75,10,8,2271,10.0,2341,.903
16,Columbus Blue Jackets*,82,220,223,41,322,12.73,62,346,82.08,8,12,2370,9.3,2281,.902
17,Buffalo Sabres,82,242,229,75,358,20.95,61,336,81.85,7,5,2505,9.7,2575,.911
18,Anaheim Ducks*,82,238,235,73,309,23.62,78,385,79.74,6,8,2481,9.6,2499,.906
19,Minnesota Wild,82,214,197,66,328,20.12,36,291,87.63,9,6,2257,9.5,2518,.922
20,Nashville Predators,82,207,228,50,318,15.72,59,338,82.54,9,8,2375,8.7,2411,.905
21,Edmonton Oilers,82,228,244,60,354,16.95,76,338,77.51,3,8,2303,9.9,2668,.909
22,Dallas Stars,82,224,251,54,351,15.38,70,327,78.59,2,4,2369,9.5,2303,.891
23,Ottawa Senators,82,213,231,66,339,19.47,64,346,81.50,8,5,2405,8.9,2336,.901
24,Toronto Maple Leafs,82,244,286,62,330,18.79,78,308,74.68,6,7,2603,9.4,2480,.885
25,Los Angeles Kings,82,202,226,69,360,19.17,62,361,82.83,4,8,2383,8.5,2301,.902
26,Phoenix Coyotes,82,205,249,50,341,14.66,68,293,76.79,5,4,2302,8.9,2591,.904
27,Atlanta Thrashers,82,250,279,69,357,19.33,88,366,75.96,13,10,2306,10.8,2683,.896
28,Colorado Avalanche,82,190,253,50,318,15.72,64,318,79.87,4,8,2359,8.1,2376,.894
29,Tampa Bay Lightning,82,207,269,61,343,17.78,89,405,78.02,4,9,2337,8.9,2701,.900
30,New York Islanders,82,198,274,54,320,16.88,73,361,79.78,12,5,2372,8.3,2751,.900
Rk,Team,GP,PTS,PTS%,GF,GA,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%
1,San Jose Sharks*,82,117,.713,251,199,87,360,24.17,51,304,83.22,12,11,2720,9.2,2228,.911
2,Boston Bruins*,82,116,.707,270,190,74,313,23.64,54,306,82.35,8,7,2482,10.9,2524,.925
3,Detroit Red Wings*,82,112,.683,289,240,90,353,25.50,71,327,78.29,6,4,2965,9.7,2274,.894
4,Washington Capitals*,82,108,.659,268,240,85,337,25.22,75,387,80.62,7,11,2747,9.8,2418,.901
5,New Jersey Devils*,82,106,.646,238,207,58,307,18.89,65,324,79.94,12,4,2698,8.8,2415,.914
6,Chicago Blackhawks*,82,104,.634,260,209,70,363,19.28,64,330,80.61,10,6,2683,9.7,2344,.911
7,Vancouver Canucks*,82,100,.610,243,213,67,357,18.77,69,371,81.40,7,5,2335,10.4,2392,.911
8,Philadelphia Flyers*,82,99,.604,260,232,71,316,22.47,67,393,82.95,16,1,2441,10.7,2668,.913
9,Pittsburgh Penguins*,82,99,.604,258,233,62,360,17.22,60,347,82.71,7,13,2381,10.8,2484,.906
10,Calgary Flames*,82,98,.598,251,246,61,358,17.04,58,349,83.38,6,15,2643,9.5,2441,.899
11,Carolina Hurricanes*,82,97,.591,236,221,70,374,18.72,59,301,80.40,8,9,2675,8.8,2419,.909
12,New York Rangers*,82,95,.579,200,212,48,346,13.87,40,329,87.84,9,14,2658,7.5,2433,.913
13,Florida Panthers,82,93,.567,231,223,51,308,16.56,54,311,82.64,7,9,2411,9.6,2843,.922
14,Montreal Canadiens*,82,93,.567,242,240,72,374,19.25,65,370,82.43,10,11,2461,9.8,2600,.908
15,St. Louis Blues*,82,92,.561,227,227,72,351,20.51,58,357,83.75,10,8,2271,10.0,2341,.903
16,Columbus Blue Jackets*,82,92,.561,220,223,41,322,12.73,62,346,82.08,8,12,2370,9.3,2281,.902
17,Buffalo Sabres,82,91,.555,242,229,75,358,20.95,61,336,81.85,7,5,2505,9.7,2575,.911
18,Anaheim Ducks*,82,91,.555,238,235,73,309,23.62,78,385,79.74,6,8,2481,9.6,2499,.906
19,Minnesota Wild,82,89,.543,214,197,66,328,20.12,36,291,87.63,9,6,2257,9.5,2518,.922
20,Nashville Predators,82,88,.537,207,228,50,318,15.72,59,338,82.54,9,8,2375,8.7,2411,.905
21,Edmonton Oilers,82,85,.518,228,244,60,354,16.95,76,338,77.51,3,8,2303,9.9,2668,.909
22,Dallas Stars,82,83,.506,224,251,54,351,15.38,70,327,78.59,2,4,2369,9.5,2303,.891
23,Ottawa Senators,82,83,.506,213,231,66,339,19.47,64,346,81.50,8,5,2405,8.9,2336,.901
24,Toronto Maple Leafs,82,81,.494,244,286,62,330,18.79,78,308,74.68,6,7,2603,9.4,2480,.885
25,Los Angeles Kings,82,79,.482,202,226,69,360,19.17,62,361,82.83,4,8,2383,8.5,2301,.902
26,Phoenix Coyotes,82,79,.482,205,249,50,341,14.66,68,293,76.79,5,4,2302,8.9,2591,.904
27,Atlanta Thrashers,82,76,.463,250,279,69,357,19.33,88,366,75.96,13,10,2306,10.8,2683,.896
28,Colorado Avalanche,82,69,.421,190,253,50,318,15.72,64,318,79.87,4,8,2359,8.1,2376,.894
