Rk,Team,GP,GF,GA,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%
9,Chicago Blackhawks*,82,216,207,54,302,17.88,63,340,81.47,4,2,2271,9.5,2077,.900
10,Los Angeles Kings*,82,214,190,73,353,20.68,49,366,86.61,5,6,2110,10.1,2051,.907
11,Phoenix Coyotes*,82,228,210,53,340,15.59,60,356,83.15,8,6,2179,10.5,2349,.911
12,New Jersey Devils*,82,205,187,44,261,16.86,43,265,83.77,2,8,2445,8.4,1900,.902
13,Ottawa Senators*,82,243,208,55,331,16.62,48,307,84.36,11,5,2469,9.8,2125,.902
14,Vancouver Canucks*,82,254,211,69,372,18.55,57,379,84.96,3,9,2326,10.9,2078,.899
15,Edmonton Oilers,82,205,182,51,333,15.32,50,348,85.63,12,7,2256,9.1,2120,.914
16,Carolina Hurricanes*,82,217,217,63,391,16.11,54,332,83.73,4,11,2347,9.2,2214,.902
17,Dallas Stars,82,215,213,60,350,17.14,59,319,81.50,7,8,2335,9.2,2135,.900
18,Montreal Canadiens*,82,207,209,45,301,14.95,38,277,86.28,7,4,2092,9.9,2597,.920
19,Washington Capitals,82,228,240,58,299,19.40,58,325,82.15,2,8,2293,9.9,2357,.898
20,Buffalo Sabres,82,213,200,50,375,13.33,41,304,86.51,7,6,2295,9.3,2120,.906
21,New York Rangers,82,227,258,48,326,14.72,80,398,79.90,8,5,2392,9.5,2618,.901
22,Calgary Flames,82,201,220,55,364,15.11,66,356,81.46,10,5,2207,9.1,2242,.902
23,Minnesota Wild,82,195,238,55,373,14.75,62,362,82.87,11,9,1954,10.0,2296,.896
24,Nashville Predators,82,196,230,48,337,14.24,50,354,85.88,6,8,2019,9.7,2313,.901
25,Tampa Bay Lightning,82,178,219,46,312,14.74,40,273,85.35,6,9,2179,8.2,2523,.913
26,Mighty Ducks of Anaheim,82,175,198,43,373,11.53,46,330,86.06,4,9,2142,8.2,2253,.912
27,Pittsburgh Penguins,82,198,249,47,335,14.03,57,352,83.81,5,10,2215,8.9,2394,.896
28,Florida Panthers,82,180,250,50,341,14.66,76,393,80.66,8,7,2205,8.2,2666,.906
29,Columbus Blue Jackets,82,164,255,50,356,14.04,52,306,83.01,3,8,2046,8.0,2469,.897
30,Atlanta Thrashers,82,187,288,37,306,12.09,65,358,81.84,3,12,1984,9.4,2911,.901
Rk,Team,GP,GF,GA,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%
1,Ottawa Senators*,82,263,182,83,391,21.23,50,332,84.94,4,8,2441,10.8,2033,.910
2,Dallas Stars*,82,245,169,62,327,18.96,50,346,85.55,9,6,2466,9.9,2073,.918
3,Detroit Red Wings*,82,269,203,76,319,23.82,55,377,85.41,11,4,2441,11.0,2361,.914
4,New Jersey Devils*,82,216,166,36,303,11.88,32,264,87.88,7,4,2601,8.3,1933,.914
5,Philadelphia Flyers*,82,211,166,47,328,14.33,50,338,85.21,8,8,2537,8.3,2019,.918
6,Colorado Avalanche*,82,251,194,68,363,18.73,63,359,82.45,5,6,2386,10.5,2322,.916
7,Vancouver Canucks*,82,264,208,87,419,20.76,62,389,84.06,12,10,2388,11.1,2185,.905
8,St. Louis Blues*,82,253,222,80,391,20.46,71,389,81.75,11,7,2301,11.0,2047,.892
9,Toronto Maple Leafs*,82,236,208,63,359,17.55,56,426,86.85,11,7,2152,11.0,2423,.914
10,Mighty Ducks of Anaheim*,82,203,193,56,348,16.09,42,333,87.39,8,5,2246,9.0,2377,.919
11,Minnesota Wild*,82,198,178,52,366,14.21,43,308,86.04,9,5,2086,9.5,2335,.924
12,Tampa Bay Lightning*,82,219,210,70,391,17.90,55,316,82.59,6,5,2395,9.1,2298,.909
13,Edmonton Oilers*,82,231,230,56,386,14.51,61,351,82.62,13,8,2292,10.1,2248,.898
14,Washington Capitals*,82,224,220,57,331,17.22,72,384,81.25,8,4,2223,10.1,2454,.910
15,Boston Bruins*,82,245,237,59,325,18.15,65,375,82.67,10,11,2636,9.3,2322,.898
16,New York Islanders*,82,224,231,58,384,15.10,67,405,83.46,12,5,2427,9.2,2318,.900
